# time,BOT[0].botPosition[0]
0,19
0,19
488.0607977769665,19
492.9396480434525,14
492.9396480434525,14
497.819648043448,9
497.819648043448,9
512.0607977769445,9
516.9435924718168,4
516.9435924718168,4
521.8235924718124,1
521.8235924718124,1
627.0607977768484,1
631.9431719036247,0
631.9431719036247,0
746.8767057333914,0
751.7495869671297,5
751.7495869671297,5
756.6295869671259,9
756.6295869671259,9
767.8767057333747,9
772.749586967113,11
772.749586967113,11
777.6295869671092,16
777.6295869671092,16
782.5095869671053,19
782.5095869671053,19
1049.296632407552,19
1054.171601155021,14
1054.171601155021,14
1059.051601155016,9
1059.051601155016,9
1063.930941066912,4
1063.930941066912,4
1068.810941066907,2
1068.810941066907,2
1076.296632407527,2
1081.296632407523,2
1086.171601154992,4
1086.171601154992,4
1092.296632407514,4
1097.171601154984,3
1097.171601154984,3
1215.296632407429,3
1220.171601154898,2
1220.171601154898,2
1313.29663240734,2
1318.175336510268,1
1318.175336510268,1
1398.296632407263,1
1403.179179510841,0
1403.179179510841,0
1508.255989145634,0
1513.129933789245,2
1513.129933789245,2
1519.255989145622,2
1524.129933789233,6
1524.129933789233,6
1529.009933789227,11
1529.009933789227,11
1533.888203930975,16
1533.888203930975,16
1538.761467576139,19
1538.761467576139,19
1571.357849883026,19
1576.239179510675,16
1576.239179510675,16
1581.119933789175,15
1581.119933789175,15
1589.357849883006,15
1594.239179510655,10
1594.239179510655,10
1599.119933789154,7
1599.119933789154,7
1607.357849882985,7
1612.239179510634,6
1612.239179510634,6
1699.357849882895,6
1704.239179510545,5
1704.239179510545,5
1758.357849882834,5
1763.234006091276,4
1763.234006091276,4
1855.357849882725,4
1860.234006091168,3
1860.234006091168,3
1937.357849882648,3
1942.234006091091,2
1942.234006091091,2
2063.357849882869,2
2068.239125556317,1
2068.239125556317,1
2157.357849884834,1
2162.234566533129,0
2162.234566533129,0
2252.014684662536,0
2256.894381793195,5
2256.894381793195,5
2261.769145164748,10
2261.769145164748,10
2266.649145164852,15
2266.649145164852,15
2276.014684663049,15
2280.894381793708,19
2280.894381793708,19
2285.769145165258,17
2285.769145165258,17
2290.64914516536,12
2290.64914516536,12
2295.529145165462,7
2295.529145165462,7
2300.406241510778,6
2300.406241510778,6
2305.280503450785,5
2305.280503450785,5
2311.190503450908,5
2316.064006096643,7
2316.064006096643,7
2353.19050345179,7
2358.069556353901,6
2358.069556353901,6
2447.190503453768,6
2452.064381797305,5
2452.064381797305,5
2559.190503456159,5
2564.064381799694,4
2564.064381799694,4
2635.190503457767,4
2640.070423926431,3
2640.070423926431,3
2742.19050346004,3
2747.068001818481,2
