# time,BOT[0].botPosition[1]
0,3
0,3
485.0607977769693,3
489.9396480434552,0
489.9396480434552,0
498.0607977769574,0
502.9396480434434,5
502.9396480434434,5
507.8196480434388,10
507.8196480434388,10
512.6935924718207,14
512.6935924718207,14
744.876705733393,14
749.7495869671313,12
749.7495869671313,12
755.8767057333843,12
760.7495869671226,7
760.7495869671226,7
765.6295869671187,2
765.6295869671187,2
770.8767057333723,2
775.7495869671106,3
775.7495869671106,3
1046.296632407555,3
1051.171601155023,0
1051.171601155023,0
1066.296632407536,0
1071.171601155005,5
1071.171601155005,5
1076.051601155001,10
1076.051601155001,10
1080.930941066896,13
1080.930941066896,13
1085.810941066892,14
1085.810941066892,14
1506.255989145636,14
1511.129933789247,10
1511.129933789247,10
1516.009933789242,6
1516.009933789242,6
1520.88820393099,3
1520.88820393099,3
1568.35784988303,3
1573.239179510679,0
1573.239179510679,0
1578.119933789178,3
1578.119933789178,3
1582.999933789172,8
1582.999933789172,8
1587.878203930921,13
1587.878203930921,13
1592.751467576084,14
1592.751467576084,14
2250.014684662493,14
2254.894381793153,12
2254.894381793153,12
2267.014684662857,12
2271.894381793516,7
2271.894381793516,7
2276.769145165068,3
2276.769145165068,3
2281.649145165172,2
2281.649145165172,2
2286.529145165274,0
2286.529145165274,0
2297.190503450615,0
2302.06400609635,5
2302.06400609635,5
2306.944381794253,9
2306.944381794253,9
2311.819145165803,13
2311.819145165803,13
2316.699145165905,14
2316.699145165905,14
3098.518174765823,14
3103.400451828821,12
3103.400451828821,12
3108.280451828923,9
3108.280451828923,9
3113.160451829025,5
3113.160451829025,5
3118.039985742456,3
3118.039985742456,3
3129.74947812149,3
3134.625482436572,0
3134.625482436572,0
3141.749478121747,0
3146.625482436828,4
3146.625482436828,4
3151.500451829836,9
3151.500451829836,9
3156.380451829941,14
3156.380451829941,14
3873.651628823229,14
3878.525753182388,12
3878.525753182388,12
3884.651628823464,12
3889.525753182623,7
3889.525753182623,7
3894.405753182727,2
3894.405753182727,2
3899.285753182832,3
3899.285753182832,3
3906.664430914429,3
3911.545753183093,0
3911.545753183093,0
3928.664430914899,0
3933.545753183564,4
3933.545753183564,4
3938.425753183668,9
3938.425753183668,9
3943.305753183772,13
3943.305753183772,13
3948.664430915327,13
3953.545753183991,14
3953.545753183991,14
4653.001443972403,14
4657.882197844916,10
4657.882197844916,10
4662.763990415837,5
4662.763990415837,5
4667.643990415939,3
4667.643990415939,3
4686.109799891984,3
4690.992197845603,0
4690.992197845603,0
4704.109799892344,0
4708.992197845963,4
4708.992197845963,4
4713.87399041688,9
4713.87399041688,9
4718.753990416977,13
4718.753990416977,13
4723.627083644203,14
4723.627083644203,14
5548.37880993714,14
5553.253483644557,12
5553.253483644557,12
5558.133483644659,7
5558.133483644659,7
5563.009797693436,3
5563.009797693436,3
5579.401969314414,3
5584.283483645211,0
5584.283483645211,0
5601.401969314894,0
5606.283483645691,5
5606.283483645691,5
5611.163483645798,9
5611.163483645798,9
5616.039797694579,13
5616.039797694579,13
5621.40196931533,13
5626.283483646128,14
5626.283483646128,14
6322.981610862076,14
6327.862857637923,10
6327.862857637923,10
6332.744991515142,6
6332.744991515142,6
6337.624991515239,3
6337.624991515239,3
6356.06385904711,3
6360.936820392118,0
6360.936820392118,0
6365.814991515804,2
6365.814991515804,2
6370.694991515901,6
6370.694991515901,6
6375.571461676825,11
6375.571461676825,11
6380.452974204018,14
6380.452974204018,14
7128.406192698651,14
7133.287369280045,12
7133.287369280045,12
7143.406192698952,12
7148.287369280345,7
7148.287369280345,7
7153.167369280442,2
7153.167369280442,2
7158.04736928054,3
7158.04736928054,3
7162.92736928064,1
7162.92736928064,1
7167.804891937709,0
7167.804891937709,0
7175.59692809886,0
7180.474888117494,5
7180.474888117494,5
7185.354888117596,9
7185.354888117596,9
7190.228733672017,14
7190.228733672017,14
7986.596775576435,14
7991.477682380134,12
7991.477682380134,12
7996.357682380236,11
