# time,queue.discarded
10250.58745850495,34
10250.58745850495,34
10369.00557069763,34
10369.00557069763,34
10373.88395431034,35
10373.88395431034,35
10682.93210064136,35
10682.93210064136,35
10687.8095856055,36
10687.8095856055,36
10880.08227155332,36
10880.08227155332,36
10884.95679495155,37
10884.95679495155,37
10935.41994067828,37
10935.41994067828,37
10940.29366081634,38
10940.29366081634,38
11111.44204743794,38
11111.44204743794,38
11116.32014460846,39
11116.32014460846,39
11306.71651471302,39
11306.71651471302,39
11311.59694555977,40
11311.59694555977,40
11443.68818771576,40
11443.68818771576,40
11448.56694556276,41
11448.56694556276,41
11570.34402362552,41
11570.34402362552,41
11575.21877094546,42
11575.21877094546,42
11875.36789572598,42
11875.36789572598,42
11880.24877095206,43
11880.24877095206,43
12002.41726882653,43
12002.41726882653,43
12007.29775497698,44
12007.29775497698,44
12205.60814271896,44
12205.60814271896,44
12210.48835898846,45
12210.48835898846,45
12408.91476250477,45
12408.91476250477,45
12413.78775498551,46
12413.78775498551,46
12563.88884074351,46
12563.88884074351,46
12568.76431108132,47
12568.76431108132,47
12830.17749427488,47
12830.17749427488,47
12835.05490970889,48
12835.05490970889,48
12951.96908116563,48
12951.96908116563,48
12956.84431108922,49
12956.84431108922,49
13133.13133483539,49
13133.13133483539,49
13138.00431109285,50
13138.00431109285,50
13176.81230648546,50
13176.81230648546,50
13181.68616787614,51
13181.68616787614,51
13509.23254551488,51
13509.23254551488,51
13514.10835421628,52
13514.10835421628,52
13692.07955837413,52
13692.07955837413,52
13696.95476021114,53
13696.95476021114,53
13956.8848587183,53
13956.8848587183,53
13961.76228108446,54
13961.76228108446,54
14075.40660078223,54
14075.40660078223,54
14080.28614505334,55
14080.28614505334,55
14125.51905023119,55
14125.51905023119,55
14130.39614505444,56
14130.39614505444,56
14486.27526264387,56
14486.27526264387,56
14491.1526621227,57
14491.1526621227,57
14679.90377212066,57
14679.90377212066,57
14684.78415215146,58
14684.78415215146,58
14730.47418793167,58
14730.47418793167,58
14735.350630739,59
14735.350630739,59
15379.35891502263,59
15379.35891502263,59
15384.2350923857,60
15384.2350923857,60
15672.6806704833,60
15672.6806704833,60
15677.55482887777,61
15677.55482887777,61
15967.49118641802,61
15967.49118641802,61
15972.36520263132,62
15972.36520263132,62
16095.06951329085,62
16095.06951329085,62
16099.94252307114,63
16099.94252307114,63
16401.23993421687,63
16401.23993421687,63
16406.11489517754,64
16406.11489517754,64
16580.72968633747,64
16580.72968633747,64
16585.60775091659,65
16585.60775091659,65
16740.27856525703,65
16740.27856525703,65
16745.1596944683,66
16745.1596944683,66
17102.99013000347,66
17102.99013000347,66
17107.86775083536,67
17107.86775083536,67
17204.25714440558,67
17204.25714440558,67
17209.13513872995,68
17209.13513872995,68
17348.7639570194,68
17348.7639570194,68
17353.64420857002,69
17353.64420857002,69
17645.95555243734,69
17645.95555243734,69
17650.82993690466,70
17650.82993690466,70
18107.75253806634,70
18107.75253806634,70
18112.63252499602,71
18112.63252499602,71
18383.27172369027,71
18383.27172369027,71
18388.15413289888,72
18388.15413289888,72
18617.88688893767,72
18617.88688893767,72
18622.76477689775,73
18622.76477689775,73
18838.35088057705,73
18838.35088057705,73
18843.22413283014,74
18843.22413283014,74
19413.91306655716,74
19413.91306655716,74
19418.78981509745,75
19418.78981509745,75
19606.32737426587,75
19606.32737426587,75
19611.20121566071,76
19611.20121566071,76
19945.28464574776,76
19945.28464574776,76
19950.16429586421,77
19950.16429586421,77
20000.00175856783,77
