# time,queue.discarded
0,0
0,0
2557.310486590673,0
2557.310486590673,0
2562.190503456222,1
2562.190503456222,1
2942.979765315565,1
2942.979765315565,1
2947.858001822734,2
2947.858001822734,2
3053.929465584704,2
3053.929465584704,2
3058.810423935317,3
3058.810423935317,3
3179.253256105369,3
3179.253256105369,3
3184.129985743863,4
3184.129985743863,4
3331.452816044699,4
3331.452816044699,4
3336.330451833772,5
3336.330451833772,5
3546.888214482913,5
3546.888214482913,5
3551.769478130566,6
3551.769478130566,6
3950.492183981006,6
3950.492183981006,6
3955.36575318403,7
3955.36575318403,7
4068.30252707194,7
4068.30252707194,7
4073.180818273682,8
4073.180818273682,8
4295.884192336385,8
4295.884192336385,8
4300.764430922773,9
4300.764430922773,9
4762.888303200869,9
4762.888303200869,9
4767.763990417962,10
4767.763990417962,10
4893.691413530977,10
4893.691413530977,10
4898.568275467738,11
4898.568275467738,11
5221.438347671789,11
5221.438347671789,11
5226.316013578205,12
5226.316013578205,12
5341.143895241235,12
5341.143895241235,12
5346.019797688771,13
5346.019797688771,13
5555.687474464131,13
5555.687474464131,13
5560.566873385006,14
5560.566873385006,14
5770.371493083054,14
5770.371493083054,14
5775.244496745481,15
5775.244496745481,15
5988.493348329936,15
5988.493348329936,15
5993.366647462571,16
5993.366647462571,16
6232.914562538655,16
6232.914562538655,16
6237.794991513149,17
6237.794991513149,17
6442.962257528747,17
6442.962257528747,17
6447.844991517446,18
6447.844991517446,18
6555.438375687891,18
6555.438375687891,18
6560.320959079727,19
6560.320959079727,19
7066.08319658753,19
7066.08319658753,19
7070.957369278797,20
7070.957369278797,20
7320.346775746221,20
7320.346775746221,20
7325.225465316997,21
7325.225465316997,21
7560.721646302709,21
7560.721646302709,21
7565.596928107138,22
7565.596928107138,22
7738.5972226839,22
7738.5972226839,22
7743.473656986783,23
7743.473656986783,23
7895.976558072053,23
7895.976558072053,23
7900.853443358979,24
7900.853443358979,24
8139.456634392963,24
8139.456634392963,24
8144.337682383365,25
8144.337682383365,25
8241.282572849523,25
8241.282572849523,25
8246.164979072715,26
8246.164979072715,26
8385.316266493879,26
8385.316266493879,26
8390.194091251131,27
8390.194091251131,27
8781.47393503801,27
8781.47393503801,27
8786.353264251133,28
8786.353264251133,28
9175.199418818087,28
9175.199418818087,28
9180.07503914163,29
9180.07503914163,29
9307.382394095153,29
9307.382394095153,29
9312.258569828853,30
9312.258569828853,30
9502.573170843933,30
9502.573170843933,30
9507.451759559437,31
9507.451759559437,31
9747.748069316887,31
9747.748069316887,31
9752.623954296547,32
9752.623954296547,32
9877.100066620522,32
9877.100066620522,32
9881.973954299196,33
9881.973954299196,33
10245.70508632851,33
10245.70508632851,33
