#### Cumulative Probability Distribution
# cumulative #1
3222.08687404144 0.0
3311.60135063892 0.00144508670520231
3401.1158272364 0.00144508670520231
3490.63030383389 0.00216763005780347
3580.14478043137 0.00505780346820809
3669.65925702885 0.00867052023121387
3759.17373362634 0.0122832369942197
3848.68821022382 0.0173410404624277
3938.2026868213 0.023121387283237
4027.71716341878 0.032514450867052
4117.23164001627 0.0433526011560694
4206.74611661375 0.0585260115606936
4296.26059321123 0.0700867052023121
4385.77506980871 0.0888728323699422
4475.2895464062 0.108381502890173
4564.80402300368 0.130057803468208
4654.31849960116 0.159682080924856
4743.83297619865 0.185693641618497
4833.34745279613 0.216040462427746
4922.86192939361 0.244219653179191
5012.37640599109 0.283959537572254
5101.89088258858 0.31864161849711
5191.40535918606 0.354768786127168
5280.91983578354 0.389450867052023
5370.43431238102 0.427745664739884
5459.94878897851 0.471098265895954
5549.46326557599 0.50650289017341
5638.97774217347 0.544797687861272
5728.49221877096 0.574421965317919
5818.00669536844 0.605491329479769
5907.52117196592 0.642341040462428
5997.0356485634 0.676300578034682
