#### Frequency Histogram
# count #1
3222.08687404144 2.0
3311.60135063892 0.0
3401.1158272364 1.0
3490.63030383389 4.0
3580.14478043137 5.0
3669.65925702885 5.0
3759.17373362634 7.0
3848.68821022382 8.0
3938.2026868213 13.0
4027.71716341878 15.0
4117.23164001627 21.0
4206.74611661375 16.0
4296.26059321123 26.0
4385.77506980871 27.0
4475.2895464062 30.0
4564.80402300368 41.0
4654.31849960116 36.0
4743.83297619865 42.0
4833.34745279613 39.0
4922.86192939361 55.0
5012.37640599109 48.0
5101.89088258858 50.0
5191.40535918606 48.0
5280.91983578354 53.0
5370.43431238102 60.0
5459.94878897851 49.0
5549.46326557599 53.0
5638.97774217347 41.0
5728.49221877096 43.0
5818.00669536844 51.0
5907.52117196592 47.0
