# time,BOT[0].botPosition[1]
0,3
0,3
160.5656064202307,3
165.4456064202263,0
165.4456064202263,0
200.5656064201943,0
205.4456064201899,3
205.4456064201899,3
210.3260174025889,5
210.3260174025889,5
215.205606420181,8
215.205606420181,8
220.08601740258,9
220.08601740258,9
224.9656064201722,12
224.9656064201722,12
229.8456064201677,14
229.8456064201677,14
234.7256064201633,13
234.7256064201633,13
239.6056064201588,12
239.6056064201588,12
244.4856064201544,10
244.4856064201544,10
249.36560642015,8
249.36560642015,8
254.2456064201455,6
254.2456064201455,6
259.1256064201412,3
259.1256064201412,3
957.6313052707844,3
962.51130527078,0
962.51130527078,0
985.631305270759,0
990.5113052707545,2
990.5113052707545,2
995.3940568797368,4
995.3940568797368,4
1000.271305270746,7
1000.271305270746,7
1005.151305270741,9
1005.151305270741,9
1010.031305270737,12
1010.031305270737,12
1014.911305270732,14
1014.911305270732,14
1031.631305270717,14
1036.511305270713,12
1036.511305270713,12
1049.631305270701,12
1054.511305270696,9
1054.511305270696,9
1059.39140430003,7
1059.39140430003,7
1064.271305270687,4
1064.271305270687,4
1069.151404300021,2
1069.151404300021,2
1075.631305270677,2
1080.511305270673,3
1080.511305270673,3
1668.866526648024,3
1673.742070573848,0
1673.742070573848,0
1712.866526647984,0
1717.742070573808,3
1717.742070573808,3
1722.622070573804,5
1722.622070573804,5
1727.502070573799,8
1727.502070573799,8
1732.382070573795,9
1732.382070573795,9
1737.263432972359,12
1737.263432972359,12
1742.143432972355,14
1742.143432972355,14
1751.904183241592,14
1756.784183241588,12
1756.784183241588,12
1761.663432972337,10
1761.663432972337,10
1766.544183241579,8
1766.544183241579,8
1771.423432972328,6
1771.423432972328,6
1776.30418324157,3
1776.30418324157,3
2499.319083151676,3
2504.193015271669,0
2504.193015271669,0
2515.319083152022,0
2520.193015272014,3
2520.193015272014,3
2525.070103797664,5
2525.070103797664,5
2529.949083152338,8
2529.949083152338,8
2534.829083152444,9
2534.829083152444,9
2539.709083152549,12
2539.709083152549,12
2544.589083152654,14
2544.589083152654,14
2576.045306810219,14
2580.919828125771,12
2580.919828125771,12
2606.045306810863,12
2610.919828126416,9
2610.919828126416,9
2615.799828126522,8
2615.799828126522,8
2620.675306811179,5
2620.675306811179,5
2625.549828126732,3
2625.549828126732,3
2646.364310257342,3
2651.23982812729,0
2651.23982812729,0
2670.364310257866,0
2675.239828127814,3
2675.239828127814,3
2680.119828127921,5
2680.119828127921,5
2684.999828128027,6
2684.999828128027,6
2689.879828128134,7
2689.879828128134,7
2694.754310258398,10
2694.754310258398,10
2699.629828128347,12
2699.629828128347,12
2704.504310258611,14
2704.504310258611,14
2730.060479969454,14
2734.942160699434,12
2734.942160699434,12
2752.060479969934,12
2756.942160699914,9
2756.942160699914,9
2761.822160700021,7
2761.822160700021,7
2766.700479970254,5
2766.700479970254,5
2771.582160700234,3
2771.582160700234,3
2835.408643949183,3
2840.288643949289,0
2840.288643949289,0
2867.408643949875,0
2872.290216314705,3
2872.290216314705,3
2877.17021631481,4
2877.17021631481,4
2882.050216314915,7
2882.050216314915,7
2886.930216315021,9
2886.930216315021,9
2891.810320314718,12
2891.810320314718,12
2896.690320314824,14
2896.690320314824,14
2912.096561080347,14
2916.976561080454,12
2916.976561080454,12
2926.096561080653,12
2930.976561080759,9
2930.976561080759,9
2935.850320315679,7
2935.850320315679,7
2940.726561080972,4
2940.726561080972,4
2945.600320315892,3
2945.600320315892,3
3703.799992155592,3
3708.676835239476,0
3708.676835239476,0
3713.556835239582,1
3713.556835239582,1
3718.436835239687,4
3718.436835239687,4
3723.316835239792,6
3723.316835239792,6
3728.196835239898,9
3728.196835239898,9
3733.076835240003,10
3733.076835240003,10
3737.956835240108,13
3737.956835240108,13
3742.836835240214,14
3742.836835240214,14
3777.799992157195,14
3782.6799921573,12
3782.6799921573,12
3815.799992158015,12
3820.679992158121,9
3820.679992158121,9
3825.553552548904,8
