# time,human.delayHuman
0,0
0,0
162.62385723536,0
167.5056064202244,3.292160167272161
167.5056064202244,3.292160167272161
232.5656064201652,3.292160167272161
237.4456064201608,-0
237.4456064201608,-0
428.7654690958219,-0
433.6396666260509,0.9212190182816017
433.6396666260509,0.9212190182816017
501.9096666259888,0.9212190182816017
506.7896666259844,-0
506.7896666259844,-0
577.1518088044008,-0
582.0318088043964,7.389080557373784
582.0318088043964,7.389080557373784
659.5240909943084,7.389080557373784
664.3999877455758,10.94600228481061
664.3999877455758,10.94600228481061
735.0199877455116,10.94600228481061
739.9004504225297,3.283889833249077
739.9004504225297,3.283889833249077
810.7704504224654,3.283889833249077
815.6504504224609,-0
815.6504504224609,-0
1098.741404299994,-0
1103.624182309033,0.9789509811427989
1103.624182309033,0.9789509811427989
1162.02418230898,0.9789509811427989
1166.904182308976,-0
1166.904182308976,-0
1235.77534638175,-0
1240.654182308909,6.596650889957592
1240.654182308909,6.596650889957592
1316.340973050422,6.596650889957592
1321.220973050417,-0
1321.220973050417,-0
1391.84742036178,-0
1396.720706755634,0.2132863938585425
1396.720706755634,0.2132863938585425
1486.30381627762,0.2132863938585425
1491.183816277616,-0
1491.183816277616,-0
1578.367484448866,-0
1583.247484448862,6.379614090083313
1583.247484448862,6.379614090083313
1691.032070573832,6.379614090083313
1695.912070573828,-0
1695.912070573828,-0
1744.866526647955,-0
1749.743432972348,5.03765659364391
1749.743432972348,5.03765659364391
1809.263432972294,5.03765659364391
1814.144183241536,3.720053156422408
1814.144183241536,3.720053156422408
1863.068469316539,3.720053156422408
1867.943791063187,-0
1867.943791063187,-0
1939.443791063122,-0
1944.321919710302,7.215111231764343
1944.321919710302,7.215111231764343
2010.871919710242,7.215111231764343
2015.752793300348,2.23087359011115
2015.752793300348,2.23087359011115
2068.348859120158,2.23087359011115
2073.222793300864,8.033492484919567
2073.222793300864,8.033492484919567
2141.913445158677,8.033492484919567
2146.793445158784,5.358585377180402
2146.793445158784,5.358585377180402
2223.902205093448,5.358585377180402
2228.782205093553,-0
2228.782205093553,-0
2289.009452221689,-0
2293.886488998469,2.283623328168605
2293.886488998469,2.283623328168605
2369.626489000123,2.283623328168605
2374.506489000229,-0
2374.506489000229,-0
2521.553015272043,-0
2526.429083152262,3.297088525543845
2526.429083152262,3.297088525543845
2571.319083153232,3.297088525543845
2576.195306810223,2.726223656885924
2576.195306810223,2.726223656885924
2648.859828127238,2.726223656885924
2653.739828127345,-0
2653.739828127345,-0
2722.364310258999,-0
2727.242160699266,5.696169710287535
2727.242160699266,5.696169710287535
2788.82216070061,5.696169710287535
2793.702959724361,-0
2793.702959724361,-0
2867.002959725954,-0
