# time,BOT[0].botPosition[0]
0,19
0,19
166.5656064202253,19
171.4456064202208,16
171.4456064202208,16
176.3260174026198,14
176.3260174026198,14
181.205606420212,11
181.205606420212,11
186.0860174026109,9
186.0860174026109,9
190.9656064202031,6
190.9656064202031,6
195.8456064201986,4
195.8456064201986,4
200.7256064201942,2
200.7256064201942,2
216.5656064201798,2
221.4456064201754,1
221.4456064201754,1
230.5656064201671,1
235.4456064201626,0
235.4456064201626,0
240.3256064201582,1
240.3256064201582,1
248.5656064201507,1
253.4456064201462,2
253.4456064201462,2
260.5656064201399,2
265.4456064201356,5
265.4456064201356,5
270.3256064201312,7
270.3256064201312,7
275.205606420127,10
275.205606420127,10
280.0856064201226,12
280.0856064201226,12
284.9656064201184,15
284.9656064201184,15
289.8456064201141,17
289.8456064201141,17
294.7256064201098,19
294.7256064201098,19
963.631305270779,19
968.5113052707745,16
968.5113052707745,16
973.3940568797568,14
973.3940568797568,14
978.2713052707657,11
978.2713052707657,11
983.1540568797479,9
983.1540568797479,9
988.0313052707568,7
988.0313052707568,7
1015.631305270732,7
1020.511305270727,4
1020.511305270727,4
1025.391404300061,2
1025.391404300061,2
1030.271305270718,0
1030.271305270718,0
1035.631305270713,0
1040.511305270709,3
1040.511305270709,3
1045.391404300042,5
1045.391404300042,5
1050.2713052707,7
1050.2713052707,7
1071.631305270681,7
1076.511305270676,8
1076.511305270676,8
1081.39140430001,10
1081.39140430001,10
1086.271305270667,13
1086.271305270667,13
1091.151404300001,15
1091.151404300001,15
1096.03418230904,18
1096.03418230904,18
1100.914182309036,19
1100.914182309036,19
1674.866526648018,19
1679.742070573843,16
1679.742070573843,16
1684.622070573838,14
1684.622070573838,14
1689.502070573834,11
1689.502070573834,11
1694.382070573829,9
1694.382070573829,9
1699.262070573825,6
1699.262070573825,6
1704.14207057382,4
1704.14207057382,4
1709.016526647987,1
1709.016526647987,1
1713.892070573811,0
1713.892070573811,0
1730.866526647967,0
1735.743432972361,1
1735.743432972361,1
1742.866526647957,1
1747.74343297235,0
1747.74343297235,0
1755.904183241589,0
1760.784183241584,1
1760.784183241584,1
1765.663432972334,0
1765.663432972334,0
1777.904183241569,0
1782.784183241564,3
1782.784183241564,3
1787.663432972314,5
1787.663432972314,5
1792.544183241555,8
1792.544183241555,8
1797.423432972305,10
1797.423432972305,10
1802.304183241547,13
1802.304183241547,13
1807.178469316589,15
1807.178469316589,15
1812.054183241538,18
1812.054183241538,18
1816.934183241534,19
1816.934183241534,19
2505.319083151806,19
2510.193015271798,16
2510.193015271798,16
2515.073015271904,14
2515.073015271904,14
2531.319083152368,14
