# time,nTask
5009.501045552036,0
5009.501045552036,0
5067.394506416133,0
5067.394506416133,0
5118.075798989775,0
5118.075798989775,0
5202.215915494126,0
5202.215915494126,0
5285.791261894793,0
5285.791261894793,0
5385.578572574511,0
5385.578572574511,0
5459.294747939464,0
5459.294747939464,0
5538.030165954003,0
5538.030165954003,0
5596.639551532568,0
5596.639551532568,0
5669.812053616331,0
5669.812053616331,0
5761.106115177037,0
5761.106115177037,0
5807.99020712191,0
5807.99020712191,0
5903.074560305215,0
5903.074560305215,0
5990.647186562077,0
5990.647186562077,0
6067.70628127175,0
6067.70628127175,0
6137.111721082364,0
6137.111721082364,0
6199.656425203811,0
6199.656425203811,0
6291.048238653569,0
6291.048238653569,0
6321.055175872389,0
6321.055175872389,0
6374.930235409694,0
6374.930235409694,0
6450.011605711431,0
6450.011605711431,0
6525.127448574282,0
6525.127448574282,0
6616.150861746642,0
6616.150861746642,0
6654.250749207225,0
6654.250749207225,0
6708.478010364392,0
6708.478010364392,0
6752.152687762656,0
6752.152687762656,0
6837.269358525966,0
6837.269358525966,0
6924.470012505547,0
6924.470012505547,0
6978.485833103743,0
6978.485833103743,0
7064.374722328566,0
7064.374722328566,0
7146.726709859674,0
7146.726709859674,0
7219.069087988652,0
7219.069087988652,0
7293.731096060302,0
7293.731096060302,0
7334.297193313259,0
7334.297193313259,0
7403.406628014505,0
7403.406628014505,0
7484.112724276701,0
7484.112724276701,0
7553.030501219824,0
7553.030501219824,0
7610.521160025328,0
7610.521160025328,0
7680.592857122393,0
7680.592857122393,0
7759.156026565884,0
7759.156026565884,0
7843.234933723503,0
7843.234933723503,0
7924.832335133446,0
7924.832335133446,0
8010.903320957907,0
8010.903320957907,0
8063.446140159093,0
8063.446140159093,0
8140.756740238204,0
8140.756740238204,0
8203.858288074851,0
8203.858288074851,0
8268.886245746886,0
8268.886245746886,0
8339.070553890962,0
8339.070553890962,0
8399.189860385517,0
8399.189860385517,0
8472.100702048736,0
8472.100702048736,0
8555.645341177848,0
8555.645341177848,0
8634.157799671118,0
8634.157799671118,0
8711.16055086143,0
8711.16055086143,0
8777.806728102671,0
8777.806728102671,0
8848.305844062641,0
8848.305844062641,0
8920.525481262892,0
8920.525481262892,0
8991.498921531249,0
8991.498921531249,0
9051.374261550827,0
9051.374261550827,0
9124.439281971885,0
9124.439281971885,0
9183.744607318386,0
9183.744607318386,0
9238.062383105791,0
9238.062383105791,0
9319.403935979703,0
9319.403935979703,0
9367.307827977094,0
9367.307827977094,0
9416.121818449254,0
9416.121818449254,0
9499.597232865008,0
9499.597232865008,0
9568.061887370764,0
9568.061887370764,0
9615.237937553262,0
9615.237937553262,0
9687.442817608009,0
9687.442817608009,0
9756.715214440548,0
9756.715214440548,0
9844.723447940833,0
9844.723447940833,0
9892.524909601245,0
9892.524909601245,0
9990.223152865168,0
9990.223152865168,0
10049.11044679251,0
10049.11044679251,0
10094.42989506369,0
10094.42989506369,0
10150.59722556884,0
10150.59722556884,0
10224.4765234163,0
10224.4765234163,0
10284.94532760549,0
10284.94532760549,0
10332.46445806383,0
10332.46445806383,0
10389.78127406183,0
10389.78127406183,0
10474.53539767013,0
10474.53539767013,0
10533.68212877662,0
10533.68212877662,0
10584.15283631573,0
10584.15283631573,0
10636.95738976301,0
10636.95738976301,0
10692.35416022597,0
10692.35416022597,0
10772.0190774328,0
10772.0190774328,0
10838.95009614231,0
10838.95009614231,0
10901.58970237612,0
10901.58970237612,0
10981.98555906558,0
10981.98555906558,0
11082.8718555965,0
11082.8718555965,0
11106.84331446693,0
11106.84331446693,0
11202.26028302878,0
11202.26028302878,0
11277.98764257128,0
11277.98764257128,0
11359.47126603799,0
11359.47126603799,0
11404.39532189342,0
11404.39532189342,0
11509.97867518586,0
11509.97867518586,0
11565.15532982031,0
11565.15532982031,0
11621.12980072901,0
11621.12980072901,0
11681.8259384751,0
11681.8259384751,0
11721.86639165337,0
11721.86639165337,0
11808.72580379557,0
11808.72580379557,0
11878.81628609956,0
11878.81628609956,0
11965.77016729721,0
11965.77016729721,0
12038.55613247017,0
12038.55613247017,0
12113.90445369547,0
12113.90445369547,0
12198.32860902906,0
12198.32860902906,0
12256.71931653078,0
12256.71931653078,0
12302.66735841009,0
12302.66735841009,0
12361.64402915959,0
12361.64402915959,0
12416.28830509396,0
12416.28830509396,0
12483.90388914836,0
12483.90388914836,0
12556.56683489438,0
12556.56683489438,0
12634.02450746481,0
12634.02450746481,0
12685.17145604101,0
12685.17145604101,0
12783.93610584256,0
12783.93610584256,0
12861.71992580083,0
12861.71992580083,0
12894.68412485854,0
12894.68412485854,0
12979.22240160911,0
12979.22240160911,0
13029.56802190028,0
13029.56802190028,0
13113.58106225938,0
13113.58106225938,0
13180.42765139339,0
13180.42765139339,0
13263.86801502541,0
13263.86801502541,0
13334.50360643923,0
13334.50360643923,0
13409.51201020949,0
13409.51201020949,0
13480.66991880411,0
13480.66991880411,0
13540.49699980541,0
13540.49699980541,0
13585.40865313843,0
13585.40865313843,0
13660.13799373319,0
13660.13799373319,0
13717.19234500003,0
13717.19234500003,0
13796.63485423596,0
13796.63485423596,0
13853.5623724141,0
13853.5623724141,0
13928.4634549949,0
13928.4634549949,0
13973.21830537638,0
13973.21830537638,0
14053.44383566757,0
14053.44383566757,0
14134.66456348944,0
14134.66456348944,0
14208.79011361098,0
14208.79011361098,0
14275.32633574921,0
14275.32633574921,0
14366.85890837298,0
14366.85890837298,0
14454.39713628228,0
14454.39713628228,0
14499.30723247658,0
14499.30723247658,0
14551.04388085805,0
14551.04388085805,0
14629.18909511732,0
14629.18909511732,0
14712.26373703089,0
14712.26373703089,0
14793.03011400249,0
14793.03011400249,0
14877.8927924488,0
14877.8927924488,0
14938.87988174643,0
14938.87988174643,0
15018.74182712183,0
15018.74182712183,0
15098.51634251517,0
15098.51634251517,0
15186.56091656993,0
15186.56091656993,0
15219.53715568612,0
15219.53715568612,0
15289.02025731805,0
15289.02025731805,0
15343.64996543075,0
15343.64996543075,0
15414.69660776133,0
15414.69660776133,0
15475.22964943767,0
15475.22964943767,0
15550.71125850372,0
15550.71125850372,0
15613.98463531161,0
15613.98463531161,0
15691.25608795674,0
15691.25608795674,0
15765.53633508723,0
15765.53633508723,0
15855.14817930708,0
15855.14817930708,0
15958.85091077346,0
15958.85091077346,0
16042.18714625696,0
16042.18714625696,0
16117.93389688773,0
16117.93389688773,0
16195.69763549942,0
16195.69763549942,0
16269.00422674899,0
16269.00422674899,0
16318.26079423893,0
16318.26079423893,0
16372.47778198767,0
16372.47778198767,0
16427.9196192381,0
16427.9196192381,0
16494.3654564448,0
16494.3654564448,0
16548.09284978608,0
16548.09284978608,0
16598.09179132488,0
16598.09179132488,0
16667.92902876856,0
16667.92902876856,0
16742.22271285414,0
16742.22271285414,0
16839.13200440569,0
16839.13200440569,0
16930.25709712255,0
16930.25709712255,0
17012.29728538248,0
17012.29728538248,0
17080.35680182689,0
17080.35680182689,0
17158.87119756792,0
17158.87119756792,0
17205.01090837557,0
17205.01090837557,0
17280.91266063537,0
17280.91266063537,0
17362.55346447297,0
17362.55346447297,0
17428.65240783192,0
17428.65240783192,0
17513.90900095959,0
17513.90900095959,0
17600.02456756716,0
17600.02456756716,0
17663.2203353954,0
17663.2203353954,0
17752.51742984929,0
17752.51742984929,0
17824.52467511951,0
17824.52467511951,0
17894.9465753316,0
17894.9465753316,0
17966.49437990821,0
17966.49437990821,0
18014.71298928097,0
18014.71298928097,0
18103.99700438655,0
18103.99700438655,0
18194.83903707859,0
18194.83903707859,0
18249.02346664063,0
18249.02346664063,0
18306.02556830836,0
18306.02556830836,0
18357.50057792263,0
18357.50057792263,0
18407.89323130592,0
18407.89323130592,0
18476.1871253219,0
18476.1871253219,0
18531.55388222515,0
18531.55388222515,0
18586.74455178918,0
18586.74455178918,0
18657.74334082954,0
18657.74334082954,0
18749.95292263116,0
18749.95292263116,0
18805.50196389474,0
18805.50196389474,0
18880.96142952414,0
18880.96142952414,0
18944.37743248031,0
18944.37743248031,0
19009.5007183999,0
19009.5007183999,0
19086.98695113334,0
19086.98695113334,0
19125.10156655607,0
19125.10156655607,0
19207.23585659506,0
19207.23585659506,0
19293.4974476858,0
19293.4974476858,0
19358.79666087878,0
19358.79666087878,0
19432.36014886112,0
19432.36014886112,0
19493.12031042792,0
19493.12031042792,0
19530.1638022842,0
19530.1638022842,0
19601.11571144319,0
19601.11571144319,0
19637.83258682756,0
19637.83258682756,0
19705.27442699474,0
19705.27442699474,0
19757.53400015292,0
19757.53400015292,0
19808.87852266791,0
19808.87852266791,0
19883.63910668765,0
19883.63910668765,0
19953.34908206256,0
19953.34908206256,0
20000.00279751117,0
