# time,nTask
0,0
0,0
88.61921851850238,0
88.61921851850238,0
158.5629296756636,0
158.5629296756636,0
198.5461811816816,0
198.5461811816816,0
262.4479163183402,0
262.4479163183402,0
354.7581203713619,0
354.7581203713619,0
427.883798956826,0
427.883798956826,0
503.1306340338769,0
503.1306340338769,0
585.5045955664773,0
585.5045955664773,0
660.9924885414538,0
660.9924885414538,0
736.7697550764442,0
736.7697550764442,0
789.9220852665919,0
789.9220852665919,0
861.018731075029,0
861.018731075029,0
955.6214990865512,0
955.6214990865512,0
1024.727335878289,0
1024.727335878289,0
1088.009738362601,0
1088.009738362601,0
1161.715728997893,0
1161.715728997893,0
1242.332830785051,0
1242.332830785051,0
1317.831797519747,0
1317.831797519747,0
1408.295057528351,0
1408.295057528351,0
1504.365813504656,0
1504.365813504656,0
1613.027346208677,0
1613.027346208677,0
1666.862333833121,0
1666.862333833121,0
1735.25250685702,0
1735.25250685702,0
1789.040121741041,0
1789.040121741041,0
1865.439149298229,0
1865.439149298229,0
1936.86448825306,0
1936.86448825306,0
1994.318371923035,0
1994.318371923035,0
2067.796273005552,0
2067.796273005552,0
2149.87193857054,0
2149.87193857054,0
2214.992144643383,0
2214.992144643383,0
2293.615804584844,0
2293.615804584844,0
2369.317186772233,0
2369.317186772233,0
2447.538195741758,0
2447.538195741758,0
2497.30437987795,0
2497.30437987795,0
2574.835884807423,0
2574.835884807423,0
2644.363346519342,0
2644.363346519342,0
2714.820985041677,0
2714.820985041677,0
2788.92950305279,0
2788.92950305279,0
2833.402343273465,0
2833.402343273465,0
2891.475270762814,0
2891.475270762814,0
2956.544577778396,0
2956.544577778396,0
3026.410010362598,0
3026.410010362598,0
3079.880292699256,0
3079.880292699256,0
3150.646693820779,0
3150.646693820779,0
3230.887569534773,0
3230.887569534773,0
3323.41331189093,0
3323.41331189093,0
3408.632985544662,0
3408.632985544662,0
3484.693549683077,0
3484.693549683077,0
3562.464352054319,0
3562.464352054319,0
3619.902686088066,0
3619.902686088066,0
3701.78676479589,0
3701.78676479589,0
3779.219373250083,0
3779.219373250083,0
3850.650701737219,0
3850.650701737219,0
3925.675333562098,0
3925.675333562098,0
4009.741886868905,0
4009.741886868905,0
4107.512855832046,0
4107.512855832046,0
4196.631932503539,0
4196.631932503539,0
4258.995976638986,0
4258.995976638986,0
4305.646512597691,0
4305.646512597691,0
4403.869637217074,0
4403.869637217074,0
4457.627416618582,0
4457.627416618582,0
4521.19246669566,0
4521.19246669566,0
4578.944627395257,0
4578.944627395257,0
4669.660534417401,0
4669.660534417401,0
4732.082356030116,0
4732.082356030116,0
4820.918361663553,0
4820.918361663553,0
4916.70348886509,0
4916.70348886509,0
